2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration$DataSourceTransactionManagerConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'jdbcTemplate': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'namedParameterJdbcTemplate': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.transaction.config.internalTransactionAdvisor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'transactionAttributeSource': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'transactionInterceptor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.transaction.config.internalTransactionalEventListenerFactory': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration$EnableTransactionManagementConfiguration$CglibAutoProxyConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration$EnableTransactionManagementConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration$TransactionTemplateConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'transactionTemplate': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'platformTransactionManagerCustomizers': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'spring.transaction-org.springframework.boot.autoconfigure.transaction.TransactionProperties': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.security.SecurityFilterAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'securityFilterChainRegistration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.HttpEncodingAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'characterEncodingFilter': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'localeCharsetMappingsCustomizer': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.MultipartAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'multipartConfigElement': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'multipartResolver': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'spring.http.multipart-org.springframework.boot.autoconfigure.web.MultipartProperties': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.ServerPropertiesAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'duplicateServerPropertiesDetector': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebClientAutoConfiguration$RestTemplateConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'restTemplateBuilder': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebClientAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.orm.jpa.SharedEntityManagerCreator#0': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'autoConfigurationReport': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'springApplicationArguments': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'springBootBanner': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'springBootLoggingSystem': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'environment': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'systemProperties': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'systemEnvironment': no URL paths identified
